2025-06-11 14:16:05 - INFO - main2.py - <module> | HIHIHI
2025-06-11 14:16:52 - INFO - main2.py - <module> | HIHIHI
2025-06-11 14:18:13 - INFO - main2.py - main | zzz
2025-06-11 14:20:29 - INFO - main2.py - main | zzz
2025-06-11 14:21:03 - INFO - main2.py - main | zzz
2025-06-11 14:21:12 - INFO - main2.py - main | zzz
2025-06-11 14:21:17 - INFO - main2.py - main | zzz
2025-06-11 14:21:26 - INFO - main2.py - main | zzz
2025-06-11 14:21:43 - INFO - main2.py - main | zzz
2025-06-11 18:25:51 - INFO - websocket_handler.py - candle_stream | Connecting to wss://fstream.binance.com/ws/solusdt@kline_5m
2025-06-11 18:25:51 - INFO - websocket_handler.py - candle_stream | ✅ Connected to SOLUSDT 5m stream
